Geneid	dmso_infect_1	dmso_infect_2	dmso_infect_3	dmso_mock_1	dmso_mock_2	dmso_mock_3	jq1_infect_1	jq1_infect_2	jq1_infect_3	jq1_mock_1	jq1_mock_2	jq1_mock_3	naive_mock_1	naive_mock_2	naive_mock_3
ENSG00000223972	1	1	1	0	0	1	0	1	0	1	0	0	0	3	0
ENSG00000227232	38	46	30	43	74	80	18	43	27	30	21	24	38	33	22
ENSG00000278267	9	4	4	5	6	14	5	8	8	5	3	5	7	7	2
ENSG00000243485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238009	7	2	8	2	8	9	2	2	6	3	2	6	6	4	11
ENSG00000239945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268903	230	169	140	176	253	268	88	175	170	133	147	119	195	199	143
ENSG00000269981	170	137	118	169	182	203	84	152	131	112	103	93	154	144	109
ENSG00000239906	0	0	0	2	0	1	0	0	0	1	1	1	1	2	1
ENSG00000241860	11	12	7	5	9	27	2	7	12	5	4	15	6	8	8
ENSG00000222623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279928	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0
ENSG00000279457	87	115	78	92	139	142	39	90	71	76	64	49	110	92	89
ENSG00000273874	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ENSG00000228463	13	6	7	6	12	20	6	10	13	11	6	8	8	11	9
ENSG00000286448	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000236679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237094	36	39	48	35	14	73	26	31	33	25	22	41	46	17	36
ENSG00000269732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250575	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000278757	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000230021	2	4	5	3	1	4	0	3	2	6	0	1	2	1	1
ENSG00000235146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225972	34	33	27	24	25	6	5	27	11	11	17	9	25	33	3
ENSG00000225630	61	69	50	42	47	42	20	40	40	21	13	21	46	43	23
ENSG00000237973	1726	1859	1469	1600	1739	1594	1055	2048	1800	1419	1400	1341	1803	1163	764
ENSG00000278791	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229344	480	538	435	334	450	211	252	397	304	192	237	140	492	417	117
ENSG00000240409	7	7	5	12	6	5	5	9	2	3	3	3	7	2	3
ENSG00000248527	18383	21233	14629	21196	24091	32941	13139	23438	18932	16060	16777	14549	21461	18249	14553
ENSG00000198744	202	247	219	152	227	110	115	191	157	112	151	83	214	208	59
ENSG00000268663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228327	42	49	39	43	42	101	28	52	43	39	30	45	37	39	30
ENSG00000223181	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237491	3	7	6	10	9	20	6	11	10	13	9	17	18	6	11
ENSG00000285268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230092	1	2	2	4	7	11	1	6	3	8	5	4	5	2	3
ENSG00000177757	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0
ENSG00000228794	136	159	134	191	234	379	128	274	259	221	198	238	182	166	143
ENSG00000225880	2	5	4	9	10	11	4	12	17	6	6	9	17	11	9
ENSG00000288531	0	0	0	2	2	1	0	1	0	0	0	1	0	0	0
ENSG00000230368	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234711	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
ENSG00000283040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272438	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0
ENSG00000230699	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0
ENSG00000241180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223764	0	0	0	3	7	4	0	0	0	0	0	0	4	3	3
ENSG00000187634	7	5	3	13	13	11	1	2	2	5	0	1	7	3	10
ENSG00000188976	3123	2967	2268	4161	5336	6037	2582	5263	4564	4391	4502	4063	4405	3926	2939
ENSG00000187961	504	484	357	556	748	813	248	506	466	332	413	345	591	497	375
ENSG00000187583	483	491	367	424	512	523	205	381	359	316	297	309	444	404	286
ENSG00000187642	2	2	4	7	7	9	0	0	0	0	1	0	5	13	4
ENSG00000272512	173	123	96	36	51	46	22	51	52	45	50	28	67	63	28
ENSG00000188290	1788	1736	1281	615	873	673	566	1272	1215	1104	901	661	608	608	405
ENSG00000187608	17753	16708	12883	1272	1863	1521	699	1742	1120	645	607	499	2484	2705	1645
ENSG00000231702	9	10	9	6	14	1	0	5	9	2	4	1	20	15	0
ENSG00000224969	2	0	3	0	0	0	0	1	0	2	0	0	1	0	0
ENSG00000188157	39388	36454	29042	30221	35149	43850	19952	40125	38535	30261	34243	35553	32411	26238	21846
ENSG00000242590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000217801	1100	1106	833	867	1130	1349	714	1458	1175	1149	1056	989	865	728	555
ENSG00000273443	14	19	21	10	13	13	25	29	53	26	23	24	12	11	7
ENSG00000237330	385	325	289	257	300	312	213	398	379	322	355	267	333	266	180
ENSG00000131591	760	607	463	744	991	924	115	176	190	160	173	150	854	833	605
ENSG00000285812	3	0	0	1	1	0	0	0	0	0	0	1	0	0	0
ENSG00000223823	4	4	0	8	3	4	0	0	0	0	0	0	3	1	1
ENSG00000207730	4	6	0	4	4	6	0	4	2	2	4	2	2	3	1
ENSG00000207607	6	2	3	2	8	7	0	3	1	2	1	1	4	1	2
ENSG00000198976	7	5	9	11	17	16	5	9	12	7	12	8	10	10	6
ENSG00000272141	109	105	62	127	186	154	67	146	123	135	128	96	108	108	74
